<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Tameshk ETF,20231205, 14660.00, 14880.00, 14650.00, 14820.00,131366404630.00, 8867087,521,D,14860.00,14790.00
Tameshk ETF,20231204, 14910.00, 14990.00, 14750.00, 14860.00,73513467100.00, 4947625,704,D,14780.00,14790.00
Tameshk ETF,20231203, 14590.00, 14950.00, 14490.00, 14780.00,122731063310.00, 8305714,640,D,14590.00,14900.00
Tameshk ETF,20231202, 14280.00, 14650.00, 14280.00, 14590.00,41569378010.00, 2849788,397,D,14320.00,14540.00
Tameshk ETF,20231129, 14210.00, 14460.00, 14180.00, 14320.00,37887489320.00, 2646215,415,D,14150.00,14460.00
Tameshk ETF,20231128, 14080.00, 14240.00, 14050.00, 14150.00,40032985960.00, 2829506,233,D,14060.00,14220.00
Tameshk ETF,20231127, 14070.00, 14080.00, 14050.00, 14060.00,10194255000.00, 725133,119,D,14040.00,14050.00
Tameshk ETF,20231126, 13930.00, 14050.00, 13930.00, 14040.00,9751342660.00, 694586,144,D,13980.00,14030.00
Tameshk ETF,20231125, 13910.00, 14030.00, 13910.00, 13980.00,10295808650.00, 736517,179,D,14020.00,13990.00
Tameshk ETF,20231122, 13900.00, 14050.00, 13900.00, 14020.00,13445640210.00, 959211,117,D,13950.00,14030.00
Tameshk ETF,20231121, 13830.00, 13980.00, 13760.00, 13950.00,8382413550.00, 600918,148,D,13940.00,13980.00
Tameshk ETF,20231120, 13950.00, 14000.00, 13870.00, 13940.00,13639159490.00, 978099,225,D,14020.00,13960.00
Tameshk ETF,20231119, 13950.00, 14070.00, 13860.00, 14020.00,16281449120.00, 1161570,143,D,13980.00,13990.00
Tameshk ETF,20231118, 13960.00, 14060.00, 13950.00, 13980.00,30011584430.00, 2146199,166,D,14030.00,13990.00
Tameshk ETF,20231115, 13930.00, 14080.00, 13930.00, 14030.00,21058231480.00, 1501166,157,D,14020.00,14020.00
Tameshk ETF,20231114, 14000.00, 14100.00, 13840.00, 14020.00,30369965900.00, 2165746,107,D,14120.00,14070.00
Tameshk ETF,20231113, 14110.00, 14180.00, 13970.00, 14120.00,22634030630.00, 1602724,260,D,14090.00,14130.00
Tameshk ETF,20231112, 14100.00, 14130.00, 14030.00, 14090.00,22312482090.00, 1583625,188,D,14190.00,14110.00
Tameshk ETF,20231111, 14010.00, 14240.00, 14010.00, 14190.00,48737438910.00, 3435619,280,D,14100.00,14130.00
Tameshk ETF,20231108, 14110.00, 14140.00, 14040.00, 14100.00,30239142020.00, 2144313,249,D,14120.00,14130.00
Tameshk ETF,20231107, 13950.00, 14260.00, 13950.00, 14120.00,88739422890.00, 6283411,412,D,13940.00,14260.00
Tameshk ETF,20231106, 13770.00, 13990.00, 13770.00, 13940.00,113388825410.00, 8136057,296,D,13860.00,13980.00
Tameshk ETF,20231105, 13940.00, 13940.00, 13830.00, 13860.00,19379973010.00, 1398607,196,D,13870.00,13850.00
Tameshk ETF,20231104, 13710.00, 13960.00, 13710.00, 13870.00,55074032700.00, 3971339,321,D,13660.00,13880.00
Tameshk ETF,20231101, 13630.00, 13770.00, 13530.00, 13660.00,78654202930.00, 5756521,203,D,13630.00,13650.00
Tameshk ETF,20231031, 13640.00, 13660.00, 13610.00, 13630.00,29221993010.00, 2144279,144,D,13630.00,13630.00
Tameshk ETF,20231030, 13640.00, 13700.00, 13550.00, 13630.00,33158659340.00, 2432311,217,D,13490.00,13670.00
Tameshk ETF,20231029, 13330.00, 13530.00, 13330.00, 13490.00,19212466080.00, 1424130,176,D,13380.00,13520.00
Tameshk ETF,20231028, 13570.00, 13570.00, 13150.00, 13380.00,42100231240.00, 3147015,317,D,13660.00,13410.00
Tameshk ETF,20231025, 13570.00, 13680.00, 13570.00, 13660.00,20622163620.00, 1509806,129,D,13640.00,13650.00
Tameshk ETF,20231024, 13670.00, 13740.00, 13560.00, 13640.00,25265560830.00, 1852491,171,D,13720.00,13620.00
Tameshk ETF,20231023, 13800.00, 13800.00, 13710.00, 13720.00,22413094770.00, 1633367,127,D,13780.00,13720.00
Tameshk ETF,20231022, 13730.00, 13800.00, 13720.00, 13780.00,22148454620.00, 1607082,171,D,13660.00,13770.00
Tameshk ETF,20231021, 13470.00, 13740.00, 13470.00, 13660.00,63232077040.00, 4627363,172,D,13580.00,13700.00
Tameshk ETF,20231018, 13660.00, 13660.00, 13560.00, 13580.00,13013571190.00, 958285,183,D,13710.00,13580.00
Tameshk ETF,20231017, 13760.00, 13760.00, 13670.00, 13710.00,16073631400.00, 1172142,223,D,13680.00,13720.00
Tameshk ETF,20231016, 13550.00, 13750.00, 13550.00, 13680.00,24409953210.00, 1783730,256,D,13560.00,13720.00
Tameshk ETF,20231015, 13440.00, 13900.00, 13440.00, 13560.00,44240375070.00, 3263718,218,D,13540.00,13550.00
Tameshk ETF,20231014, 13650.00, 13650.00, 13450.00, 13540.00,10162314300.00, 750797,198,D,13700.00,13530.00
Tameshk ETF,20231011, 13770.00, 13770.00, 13650.00, 13700.00,25371133220.00, 1851269,191,D,13690.00,13650.00
Tameshk ETF,20231010, 13640.00, 13770.00, 13580.00, 13690.00,21611434500.00, 1578221,381,D,13630.00,13740.00
Tameshk ETF,20231009, 13690.00, 13700.00, 13570.00, 13630.00,20898303360.00, 1533708,307,D,13460.00,13580.00
Tameshk ETF,20231008, 13900.00, 13900.00, 13400.00, 13460.00,47847633090.00, 3553938,482,D,13770.00,13580.00
Tameshk ETF,20231007, 13630.00, 13840.00, 13630.00, 13770.00,37404803770.00, 2715773,238,D,13860.00,13830.00
Tameshk ETF,20231004, 13820.00, 13890.00, 13820.00, 13860.00,15626453860.00, 1127752,183,D,13830.00,13840.00
Tameshk ETF,20231002, 13840.00, 13900.00, 13800.00, 13830.00,17307881690.00, 1251608,211,D,13830.00,13800.00
Tameshk ETF,20231001, 13850.00, 13890.00, 13500.00, 13830.00,17899004400.00, 1293905,216,D,13890.00,13830.00
Tameshk ETF,20230930, 14000.00, 14000.00, 13850.00, 13890.00,22992853860.00, 1655035,312,D,13920.00,13870.00
Tameshk ETF,20230927, 13940.00, 13990.00, 13900.00, 13920.00,17997913190.00, 1292765,171,D,13940.00,13930.00
Tameshk ETF,20230926, 13930.00, 14010.00, 13910.00, 13940.00,12046965040.00, 863970,205,D,13990.00,13920.00
Tameshk ETF,20230925, 14030.00, 14090.00, 13930.00, 13990.00,17761515360.00, 1269611,258,D,14050.00,13970.00
Tameshk ETF,20230923, 14070.00, 14090.00, 14040.00, 14050.00,5530028790.00, 393547,165,D,14060.00,14060.00
Tameshk ETF,20230920, 14080.00, 14110.00, 14030.00, 14060.00,13967252960.00, 993331,145,D,14090.00,14060.00
Tameshk ETF,20230919, 14180.00, 14180.00, 14050.00, 14090.00,22206240360.00, 1575681,284,D,14210.00,14060.00
Tameshk ETF,20230918, 14200.00, 14260.00, 14180.00, 14210.00,43320666840.00, 3047998,331,D,14110.00,14180.00
Tameshk ETF,20230917, 14170.00, 14170.00, 14040.00, 14110.00,35755213340.00, 2534358,402,D,14100.00,14100.00
Tameshk ETF,20230913, 14120.00, 14160.00, 14060.00, 14100.00,8297091440.00, 588270,187,D,14100.00,14140.00
Tameshk ETF,20230912, 13970.00, 14160.00, 13900.00, 14100.00,21389742790.00, 1517335,321,D,14080.00,14080.00
Tameshk ETF,20230911, 14040.00, 14140.00, 13860.00, 14080.00,8692522680.00, 617467,180,D,14090.00,14070.00
Tameshk ETF,20230910, 14100.00, 14180.00, 13900.00, 14090.00,15380590020.00, 1091237,359,D,14070.00,14100.00
Tameshk ETF,20230909, 14300.00, 14330.00, 13990.00, 14070.00,25997894000.00, 1847973,515,D,14430.00,14150.00
Tameshk ETF,20230905, 14450.00, 14640.00, 14350.00, 14430.00,26638229300.00, 1846482,776,D,14340.00,14390.00
Tameshk ETF,20230904, 14130.00, 14490.00, 14050.00, 14340.00,30606198370.00, 2134109,781,D,14200.00,14440.00
Tameshk ETF,20230903, 14000.00, 14230.00, 13910.00, 14200.00,163298155060.00, 11495839,352,D,13990.00,14110.00
Tameshk ETF,20230902, 14010.00, 14080.00, 13850.00, 13990.00,35211910890.00, 2517298,552,D,13970.00,14030.00
Tameshk ETF,20230830, 13880.00, 14090.00, 13840.00, 13970.00,20147619390.00, 1442390,385,D,13970.00,14000.00
Tameshk ETF,20230829, 13900.00, 14160.00, 13840.00, 13970.00,30473891760.00, 2181803,517,D,14090.00,13910.00
Tameshk ETF,20230828, 14050.00, 14290.00, 13810.00, 14090.00,32207888890.00, 2286031,663,D,14040.00,13950.00
Tameshk ETF,20230827, 13880.00, 14300.00, 13720.00, 14040.00,76127269840.00, 5421931,1008,D,13680.00,14090.00
Tameshk ETF,20230826, 13650.00, 13840.00, 13440.00, 13680.00,36207895040.00, 2645872,606,D,13370.00,13760.00
Tameshk ETF,20230823, 13250.00, 13620.00, 13190.00, 13370.00,26388666370.00, 1973909,433,D,13220.00,13580.00
Tameshk ETF,20230822, 13240.00, 13280.00, 13150.00, 13220.00,13643290350.00, 1032334,266,D,13320.00,13280.00
Tameshk ETF,20230821, 13390.00, 13660.00, 13150.00, 13320.00,19232080040.00, 1443471,337,D,13290.00,13240.00
Tameshk ETF,20230820, 13400.00, 13430.00, 13180.00, 13290.00,23252723100.00, 1749413,303,D,13360.00,13350.00
Tameshk ETF,20230819, 13500.00, 13500.00, 13290.00, 13360.00,15307114250.00, 1145950,309,D,13440.00,13290.00
Tameshk ETF,20230816, 13450.00, 13610.00, 13390.00, 13440.00,18729713390.00, 1393743,400,D,13440.00,13490.00
Tameshk ETF,20230815, 13550.00, 13570.00, 13380.00, 13440.00,10881474520.00, 809560,223,D,13530.00,13490.00
Tameshk ETF,20230814, 13660.00, 13670.00, 13430.00, 13530.00,23242996660.00, 1717920,349,D,13380.00,13610.00
Tameshk ETF,20230813, 13400.00, 13690.00, 13200.00, 13380.00,23461878960.00, 1753101,289,D,13300.00,13690.00
Tameshk ETF,20230812, 13650.00, 13650.00, 13200.00, 13300.00,34333135060.00, 2582380,533,D,13820.00,13390.00
Tameshk ETF,20230809, 13810.00, 13980.00, 13720.00, 13820.00,25951373480.00, 1878123,342,D,13770.00,13830.00
Tameshk ETF,20230808, 13860.00, 13860.00, 13600.00, 13770.00,30367925540.00, 2205712,397,D,13770.00,13820.00
Tameshk ETF,20230807, 13870.00, 14030.00, 13660.00, 13770.00,17752510150.00, 1288985,531,D,13780.00,13700.00
Tameshk ETF,20230806, 14000.00, 14000.00, 13650.00, 13780.00,29614176070.00, 2149776,520,D,13930.00,13860.00
Tameshk ETF,20230805, 13840.00, 14200.00, 13800.00, 13930.00,73147555960.00, 5251481,638,D,13690.00,13910.00
Tameshk ETF,20230801, 13410.00, 13900.00, 13410.00, 13690.00,33203031070.00, 2425138,563,D,13440.00,13850.00
Tameshk ETF,20230731, 13400.00, 13540.00, 13330.00, 13440.00,14936347290.00, 1111390,340,D,13340.00,13520.00
Tameshk ETF,20230730, 13630.00, 13630.00, 13250.00, 13340.00,12242175470.00, 917453,381,D,13540.00,13360.00
Tameshk ETF,20230729, 13640.00, 13710.00, 13520.00, 13540.00,18515206480.00, 1367926,260,D,13510.00,13540.00
Tameshk ETF,20230726, 13300.00, 13670.00, 13300.00, 13510.00,10179380930.00, 753604,276,D,13530.00,13590.00
Tameshk ETF,20230725, 13860.00, 13860.00, 13430.00, 13530.00,17728297620.00, 1310302,364,D,13590.00,13480.00
Tameshk ETF,20230724, 13380.00, 13800.00, 13380.00, 13590.00,14675066710.00, 1080150,334,D,13340.00,13700.00
Tameshk ETF,20230723, 13300.00, 13440.00, 13180.00, 13340.00,21820696580.00, 1635942,317,D,13190.00,13400.00
Tameshk ETF,20230722, 13400.00, 13400.00, 12960.00, 13190.00,61887187990.00, 4693646,509,D,13640.00,13220.00
Tameshk ETF,20230719, 13900.00, 14130.00, 13370.00, 13640.00,44529470590.00, 3265242,1504,D,13900.00,13500.00
Tameshk ETF,20230718, 13590.00, 14150.00, 13520.00, 13900.00,55700787400.00, 4006171,799,D,13290.00,14020.00
Tameshk ETF,20230717, 13440.00, 13670.00, 13120.00, 13290.00,55476239360.00, 4174546,724,D,13460.00,13560.00
Tameshk ETF,20230716, 13690.00, 13700.00, 13350.00, 13460.00,28531597070.00, 2119740,447,D,13650.00,13400.00
Tameshk ETF,20230715, 13860.00, 13990.00, 13490.00, 13650.00,40921728800.00, 2997200,468,D,13670.00,13650.00
Tameshk ETF,20230712, 13860.00, 13860.00, 13550.00, 13670.00,38419221800.00, 2810960,560,D,13980.00,13830.00
Tameshk ETF,20230711, 13770.00, 14080.00, 13770.00, 13980.00,91322826420.00, 6530067,481,D,14020.00,13830.00
Tameshk ETF,20230710, 13890.00, 14070.00, 13890.00, 14020.00,47384870820.00, 3379297,372,D,14020.00,14010.00
Tameshk ETF,20230709, 14170.00, 14220.00, 13800.00, 14020.00,40436136610.00, 2884337,653,D,14220.00,14010.00
Tameshk ETF,20230708, 14340.00, 14400.00, 14120.00, 14220.00,85547111460.00, 6016882,618,D,14260.00,14150.00
Tameshk ETF,20230705, 14180.00, 14370.00, 14170.00, 14260.00,26152140080.00, 1833887,477,D,14300.00,14230.00
Tameshk ETF,20230704, 14420.00, 14490.00, 14130.00, 14300.00,47410229440.00, 3315614,819,D,14190.00,14210.00
Tameshk ETF,20230703, 14010.00, 14460.00, 14000.00, 14190.00,75179820230.00, 5296908,846,D,13860.00,14440.00
Tameshk ETF,20230702, 13740.00, 14070.00, 13530.00, 13860.00,136269946050.00, 9829371,795,D,13640.00,14040.00
Tameshk ETF,20230701, 13660.00, 13800.00, 13530.00, 13640.00,49019914940.00, 3594015,612,D,13700.00,13600.00
Tameshk ETF,20230628, 13790.00, 13860.00, 13590.00, 13700.00,39663087870.00, 2896057,710,D,13830.00,13670.00
Tameshk ETF,20230627, 13940.00, 14010.00, 13720.00, 13830.00,21291548100.00, 1539792,609,D,14020.00,13860.00
Tameshk ETF,20230626, 14030.00, 14100.00, 13900.00, 14020.00,38332581510.00, 2733590,830,D,14050.00,14000.00
Tameshk ETF,20230625, 14280.00, 14280.00, 13980.00, 14050.00,49745236160.00, 3540154,564,D,13910.00,13980.00
Tameshk ETF,20230624, 13870.00, 14020.00, 13800.00, 13910.00,60099670690.00, 4321659,729,D,13950.00,13990.00
Tameshk ETF,20230621, 14170.00, 14170.00, 13830.00, 13950.00,30276560260.00, 2170041,866,D,13980.00,13910.00
Tameshk ETF,20230620, 13880.00, 14200.00, 13820.00, 13980.00,21928350100.00, 1568036,456,D,13930.00,14090.00
Tameshk ETF,20230619, 13930.00, 14080.00, 13760.00, 13930.00,32052818110.00, 2300306,361,D,13860.00,13900.00
Tameshk ETF,20230618, 14150.00, 14150.00, 13800.00, 13860.00,84482905530.00, 6095316,437,D,14060.00,13960.00
Tameshk ETF,20230617, 14000.00, 14160.00, 13950.00, 14060.00,49456197030.00, 3517620,419,D,14080.00,14050.00
Tameshk ETF,20230614, 14120.00, 14190.00, 13930.00, 14080.00,45511553950.00, 3232538,514,D,13820.00,14070.00
Tameshk ETF,20230613, 13700.00, 14100.00, 13650.00, 13820.00,75514238090.00, 5463320,539,D,13660.00,13990.00
Tameshk ETF,20230612, 13760.00, 13890.00, 13520.00, 13660.00,151232432020.00, 11073654,952,D,14050.00,13800.00
Tameshk ETF,20230611, 14030.00, 14190.00, 13860.00, 14050.00,45947224620.00, 3270899,820,D,14030.00,13900.00
Tameshk ETF,20230610, 14500.00, 14500.00, 14010.00, 14030.00,65225667890.00, 4648472,691,D,14630.00,14040.00
Tameshk ETF,20230607, 14700.00, 14700.00, 14600.00, 14630.00,82156048630.00, 5616657,654,D,14730.00,14610.00
Tameshk ETF,20230606, 14650.00, 14780.00, 14600.00, 14730.00,72055449950.00, 4893032,633,D,14630.00,14720.00
Tameshk ETF,20230603, 14670.00, 14670.00, 14510.00, 14630.00,28845630820.00, 1971385,543,D,14570.00,14670.00
Tameshk ETF,20230531, 14840.00, 14840.00, 14510.00, 14570.00,34628463980.00, 2377440,536,D,14810.00,14630.00
Tameshk ETF,20230530, 14730.00, 14860.00, 14610.00, 14810.00,76825135360.00, 5188553,580,D,14680.00,14830.00
Tameshk ETF,20230529, 14640.00, 14870.00, 14620.00, 14680.00,81603814960.00, 5557458,634,D,14640.00,14770.00
Tameshk ETF,20230528, 14970.00, 14970.00, 14540.00, 14640.00,167723209560.00, 11456140,966,D,14900.00,14670.00
Tameshk ETF,20230527, 15040.00, 15040.00, 14800.00, 14900.00,152804472530.00, 10258366,1221,D,15040.00,14880.00
Tameshk ETF,20230524, 14990.00, 15220.00, 14910.00, 15040.00,105782606260.00, 7032096,1051,D,14950.00,15000.00
Tameshk ETF,20230523, 14900.00, 15140.00, 14750.00, 14950.00,136590367590.00, 9137482,1632,D,14930.00,14830.00
Tameshk ETF,20230522, 15040.00, 15170.00, 14790.00, 14930.00,121791325310.00, 8157266,1392,D,14750.00,14950.00
Tameshk ETF,20230521, 14700.00, 15030.00, 14290.00, 14750.00,202826040030.00, 13748439,1470,D,14520.00,14890.00
Tameshk ETF,20230520, 15080.00, 15100.00, 14100.00, 14520.00,205098448940.00, 14125186,1768,D,14890.00,14540.00
Tameshk ETF,20230517, 14540.00, 15080.00, 14540.00, 14890.00,111943943090.00, 7519708,1716,D,14860.00,14990.00
Tameshk ETF,20230515, 15270.00, 15270.00, 14290.00, 14860.00,390543233380.00, 26280140,2163,D,15060.00,14800.00
Tameshk ETF,20230514, 14550.00, 15310.00, 14010.00, 15060.00,329866639620.00, 21910167,2021,D,13920.00,15300.00
Tameshk ETF,20230513, 14780.00, 14780.00, 13520.00, 13920.00,262354260780.00, 18849881,2013,D,14760.00,14170.00
Tameshk ETF,20230510, 15280.00, 15510.00, 13510.00, 14760.00,233723959950.00, 15835500,1770,D,14920.00,14810.00
Tameshk ETF,20230509, 14000.00, 15440.00, 14000.00, 14920.00,221521142060.00, 14851217,2327,D,14290.00,15280.00
Tameshk ETF,20230508, 15100.00, 15100.00, 14190.00, 14290.00,468769401170.00, 32811131,3398,D,15760.00,14220.00
Tameshk ETF,20230507, 16890.00, 16890.00, 15100.00, 15760.00,347629280210.00, 22057789,3160,D,16620.00,15210.00
Tameshk ETF,20230506, 16500.00, 16780.00, 16300.00, 16620.00,362387998030.00, 21805628,2006,D,16370.00,16660.00
Tameshk ETF,20230503, 16600.00, 16600.00, 16280.00, 16370.00,249097196050.00, 15218008,1591,D,16430.00,16410.00
Tameshk ETF,20230502, 16140.00, 16560.00, 16140.00, 16430.00,178430177950.00, 10858307,1629,D,16290.00,16450.00
Tameshk ETF,20230501, 16400.00, 16640.00, 15950.00, 16290.00,291211388410.00, 17880215,2599,D,16340.00,16290.00
Tameshk ETF,20230430, 16100.00, 16520.00, 16020.00, 16340.00,332103138160.00, 20325276,2238,D,15810.00,16400.00
Tameshk ETF,20230429, 15330.00, 16010.00, 15320.00, 15810.00,268854470120.00, 17009019,2064,D,15230.00,15960.00
Tameshk ETF,20230426, 15140.00, 15380.00, 14980.00, 15230.00,169050309690.00, 11102559,1644,D,15180.00,15190.00
Tameshk ETF,20230425, 15050.00, 15350.00, 15050.00, 15180.00,177265190990.00, 11680221,1716,D,15040.00,15150.00
Tameshk ETF,20230424, 15260.00, 15260.00, 14880.00, 15040.00,173565631440.00, 11537644,1454,D,15010.00,15050.00
Tameshk ETF,20230419, 15040.00, 15100.00, 14880.00, 15010.00,291631359010.00, 19423086,1852,D,15050.00,15030.00
Tameshk ETF,20230418, 14920.00, 15240.00, 14820.00, 15050.00,188661953660.00, 12537507,1993,D,14880.00,15030.00
Tameshk ETF,20230417, 14860.00, 14940.00, 14600.00, 14880.00,423745127630.00, 28471263,2029,D,14860.00,14860.00
Tameshk ETF,20230416, 14980.00, 15030.00, 14750.00, 14860.00,662201471970.00, 44552523,2604,D,14790.00,14830.00
Tameshk ETF,20230415, 14450.00, 14890.00, 14450.00, 14790.00,410663170360.00, 27762226,2268,D,14240.00,14850.00
Tameshk ETF,20230411, 14100.00, 14400.00, 13870.00, 14240.00,106362568100.00, 7468986,1735,D,14370.00,14380.00
Tameshk ETF,20230410, 14500.00, 14890.00, 13900.00, 14370.00,177903298190.00, 12382245,2431,D,14490.00,14180.00
Tameshk ETF,20230409, 14190.00, 14690.00, 14130.00, 14490.00,174625298400.00, 12051014,1948,D,14220.00,14490.00
Tameshk ETF,20230408, 13800.00, 14560.00, 13700.00, 14220.00,354373027110.00, 24925877,2604,D,13700.00,14130.00
Tameshk ETF,20230405, 13400.00, 13790.00, 13350.00, 13700.00,160972295490.00, 11752445,1903,D,13690.00,13790.00
Tameshk ETF,20230404, 13800.00, 14150.00, 13300.00, 13690.00,248796394980.00, 18171387,3173,D,13720.00,13490.00
Tameshk ETF,20230403, 13360.00, 13890.00, 13110.00, 13720.00,347914128890.00, 25363271,2738,D,13480.00,13670.00
Tameshk ETF,20230329, 13310.00, 13610.00, 13210.00, 13480.00,189374074380.00, 14052707,1780,D,13270.00,13580.00
Tameshk ETF,20230328, 13350.00, 13490.00, 13170.00, 13270.00,136620000240.00, 10295193,1812,D,13190.00,13300.00
Tameshk ETF,20230327, 13060.00, 13300.00, 12800.00, 13190.00,146680827750.00, 11118314,1931,D,13310.00,13260.00
Tameshk ETF,20230326, 13480.00, 13700.00, 13020.00, 13310.00,168652370130.00, 12675122,2457,D,13330.00,13030.00
Tameshk ETF,20230325, 13300.00, 13520.00, 12920.00, 13330.00,237194124380.00, 17792073,2529,D,13080.00,13420.00
Tameshk ETF,20230319, 13090.00, 13410.00, 12660.00, 13080.00,436958416280.00, 33401342,2862,D,12800.00,13100.00
Tameshk ETF,20230318, 12640.00, 13290.00, 12600.00, 12800.00,847878751210.00, 66261129,7124,D,12300.00,13050.00
Tameshk ETF,20230315, 11800.00, 12450.00, 11800.00, 12300.00,266893473370.00, 21704162,3950,D,11580.00,12390.00
Tameshk ETF,20230314, 11460.00, 11750.00, 11340.00, 11580.00,41840813180.00, 3614234,3544,D,11300.00,11720.00
Tameshk ETF,20230313, 11100.00, 11430.00, 11070.00, 11300.00,70168986170.00, 6210763,3801,D,10970.00,11390.00
Tameshk ETF,20230312, 11380.00, 11380.00, 10790.00, 10970.00,217451724590.00, 19821586,1802,D,11630.00,11070.00
Tameshk ETF,20230311, 11700.00, 11950.00, 11310.00, 11630.00,105002272590.00, 9028932,1358,D,11570.00,11400.00
Tameshk ETF,20230307, 11170.00, 11890.00, 11170.00, 11570.00,105047295990.00, 9080297,1461,D,11160.00,11800.00
Tameshk ETF,20230306, 11200.00, 11300.00, 11040.00, 11160.00,60711792760.00, 5441561,997,D,11490.00,11150.00
Tameshk ETF,20230305, 11500.00, 11920.00, 11230.00, 11490.00,84889551230.00, 7385355,1213,D,11300.00,11340.00
Tameshk ETF,20230304, 11350.00, 11450.00, 11180.00, 11300.00,79007574860.00, 6993350,1212,D,11690.00,11380.00
Tameshk ETF,20230301, 12050.00, 12150.00, 11240.00, 11690.00,128895325100.00, 11029334,1700,D,12180.00,11270.00
Tameshk ETF,20230228, 12050.00, 12300.00, 11760.00, 12180.00,242978204860.00, 19955424,1893,D,12160.00,12230.00
Tameshk ETF,20230227, 12180.00, 12470.00, 11630.00, 12160.00,445415128430.00, 36618100,3115,D,12620.00,12080.00
Tameshk ETF,20230226, 13200.00, 13320.00, 12200.00, 12620.00,576924571070.00, 45712529,3950,D,12170.00,12390.00
Tameshk ETF,20230225, 11810.00, 12170.00, 11810.00, 12170.00,697355016110.00, 57319648,1901,D,11070.00,12170.00
Tameshk ETF,20230222, 11100.00, 11330.00, 10820.00, 11070.00,110921328140.00, 10020738,1605,D,11280.00,11190.00
Tameshk ETF,20230221, 10970.00, 11590.00, 10770.00, 11280.00,309416743440.00, 27432160,2736,D,10630.00,11080.00
Tameshk ETF,20230220, 10010.00, 10750.00, 10010.00, 10630.00,128548562230.00, 12094028,1405,D,9780.00,10750.00
Tameshk ETF,20230219, 9740.00, 9900.00, 9730.00, 9780.00,79894097110.00, 8167562,949,D,9670.00,9840.00
Tameshk ETF,20230215, 9640.00, 9710.00, 9640.00, 9670.00,22052670460.00, 2281371,395,D,9640.00,9710.00
Tameshk ETF,20230214, 9670.00, 9680.00, 9630.00, 9640.00,18667120610.00, 1936012,345,D,9680.00,9660.00
Tameshk ETF,20230213, 9700.00, 9740.00, 9660.00, 9680.00,32050056880.00, 3312600,432,D,9630.00,9670.00
Tameshk ETF,20230212, 9710.00, 9710.00, 9580.00, 9630.00,22878248660.00, 2376244,438,D,9620.00,9670.00
Tameshk ETF,20230208, 9660.00, 9730.00, 9600.00, 9620.00,65245734920.00, 6778798,644,D,9640.00,9630.00
Tameshk ETF,20230207, 9520.00, 9700.00, 9520.00, 9640.00,17244662900.00, 1789453,473,D,9500.00,9650.00
Tameshk ETF,20230206, 9550.00, 9550.00, 9470.00, 9500.00,16427578190.00, 1728828,538,D,9600.00,9520.00
Tameshk ETF,20230205, 9700.00, 9700.00, 9550.00, 9600.00,48733466360.00, 5077866,533,D,9620.00,9550.00
Tameshk ETF,20230201, 9650.00, 9760.00, 9550.00, 9620.00,12400034630.00, 1289308,451,D,9670.00,9620.00
Tameshk ETF,20230131, 9450.00, 9870.00, 9450.00, 9670.00,38792805420.00, 4010301,972,D,9370.00,9650.00
Tameshk ETF,20230130, 9380.00, 9600.00, 9280.00, 9370.00,136477946770.00, 14569656,1592,D,9610.00,9530.00
Tameshk ETF,20230129, 9760.00, 9760.00, 9410.00, 9610.00,167842660120.00, 17460004,1587,D,9790.00,9410.00
Tameshk ETF,20230128, 9840.00, 9900.00, 9750.00, 9790.00,90266419340.00, 9217949,1592,D,9950.00,9800.00
Tameshk ETF,20230125, 10070.00, 10070.00, 9670.00, 9950.00,132665317680.00, 13334478,2395,D,10110.00,9850.00
Tameshk ETF,20230124, 10200.00, 10210.00, 10090.00, 10110.00,120021038440.00, 11873071,1611,D,10000.00,10090.00
Tameshk ETF,20230123, 0.00, 0.00, 0.00, 10000.00,0.00, 0,0,D,10000.00,10000.00
Tameshk ETF,20230122, 0.00, 0.00, 0.00, 10000.00,0.00, 0,0,D,10000.00,10000.00
Tameshk ETF,20230121, 0.00, 0.00, 0.00, 10000.00,0.00, 0,0,D,10000.00,10000.00
Tameshk ETF,20230118, 0.00, 0.00, 0.00, 10000.00,0.00, 0,0,D,10000.00,10000.00
Tameshk ETF,20230117, 0.00, 0.00, 0.00, 10000.00,0.00, 0,0,D,10000.00,10000.00
Tameshk ETF,20230116, 0.00, 0.00, 0.00, 10000.00,0.00, 0,0,D,10000.00,10000.00
Tameshk ETF,20230115, 0.00, 0.00, 0.00, 10000.00,0.00, 0,0,D,10000.00,10000.00
Tameshk ETF,20230114, 0.00, 0.00, 0.00, 10000.00,0.00, 0,0,D,10000.00,10000.00
Tameshk ETF,20230111, 0.00, 0.00, 0.00, 10000.00,0.00, 0,0,D,10000.00,10000.00
Tameshk ETF,20230110, 0.00, 0.00, 0.00, 10000.00,0.00, 0,0,D,10000.00,10000.00
Tameshk ETF,20230109, 0.00, 0.00, 0.00, 10000.00,0.00, 0,0,D,10000.00,10000.00
Tameshk ETF,20230108, 0.00, 0.00, 0.00, 10000.00,0.00, 0,0,D,10000.00,10000.00
Tameshk ETF,20230107, 0.00, 0.00, 0.00, 10000.00,0.00, 0,0,D,10000.00,10000.00
Tameshk ETF,20230104, 0.00, 0.00, 0.00, 10000.00,0.00, 0,0,D,10000.00,10000.00
Tameshk ETF,20230103, 0.00, 0.00, 0.00, 10000.00,0.00, 0,0,D,10000.00,10000.00
Tameshk ETF,20230102, 0.00, 0.00, 0.00, 10000.00,0.00, 0,0,D,10000.00,10000.00
